datetime,temp_deep,light_deep,temp_shallow,light_shallow
1/8/25 13:45,7.03,0.42,7.25,0.21
1/8/25 14:00,6.69,7.88,6.56,126
1/8/25 14:15,6.78,5.11,6.56,341.28
1/8/25 14:30,6.82,3.83,6.6,292.32
1/8/25 14:45,6.82,4.04,6.69,227.2
1/8/25 15:00,6.78,3.83,6.73,190.24
1/8/25 15:15,6.86,4.04,6.69,170.48
1/8/25 15:30,6.82,4.04,6.56,160.28
1/8/25 15:45,6.48,2.98,6.6,109.64
1/8/25 16:00,6.13,1.27,6.09,76.34
1/8/25 16:15,6.26,0.85,5.96,44.52
1/8/25 16:30,6.22,0,5.96,16.49
1/8/25 16:45,6.26,0,5.92,2.34
1/8/25 17:00,6.09,0,5.96,0
1/8/25 17:15,6.05,0,5.83,0
1/8/25 17:30,5.96,0,5.75,0
1/8/25 17:45,5.79,0,5.7,0
1/8/25 18:00,5.96,0,5.62,0
1/8/25 18:15,5.75,0,5.45,0
1/8/25 18:30,5.79,0,5.45,0
1/8/25 18:45,5.83,0,5.45,0
1/8/25 19:00,5.79,0,5.45,0
1/8/25 19:15,5.75,0,5.53,0
1/8/25 19:30,5.7,0,5.53,0
1/8/25 19:45,5.75,0,5.49,0
1/8/25 20:00,5.7,0,5.53,0
1/8/25 20:15,5.7,0,5.45,0
1/8/25 20:30,5.62,0,5.49,0
1/8/25 20:45,5.49,0,5.49,0
1/8/25 21:00,5.4,0,5.45,0
1/8/25 21:15,5.57,0,5.27,0
1/8/25 21:30,5.36,0,5.1,0
1/8/25 21:45,5.1,0,4.97,0
1/8/25 22:00,5.75,0,4.93,0
1/8/25 22:15,6.17,0,5.66,0
1/8/25 22:30,6.22,0,5.75,0
1/8/25 22:45,6.43,0,5.87,0
1/8/25 23:00,6.3,0,5.7,0
1/8/25 23:15,6.35,0,5.49,0
1/8/25 23:30,6.52,0,5.49,0
1/8/25 23:45,6.56,0,6.17,0
1/9/25 0:00,6.56,0,6.35,0
1/9/25 0:15,6.48,0,6.35,0
1/9/25 0:30,6.43,0,6.3,0
1/9/25 0:45,6.43,0,6.3,0
1/9/25 1:00,6.48,0,6.3,0
1/9/25 1:15,6.39,0,6.3,0
1/9/25 1:30,6.39,0,6.26,0
1/9/25 1:45,6.3,0,6.26,0
1/9/25 2:00,6.26,0,6.17,0
1/9/25 2:15,6.35,0,6.17,0
1/9/25 2:30,6.3,0,6.17,0
1/9/25 2:45,6.26,0,6.13,0
1/9/25 3:00,6.26,0,6.13,0
1/9/25 3:15,6.3,0,6.13,0
1/9/25 3:30,6.35,0,6.17,0
1/9/25 3:45,6.39,0,6.22,0
1/9/25 4:00,6.39,0,6.26,0
1/9/25 4:15,6.39,0,6.26,0
1/9/25 4:30,6.17,0,6.13,0
1/9/25 4:45,5.87,0,5.96,0
1/9/25 5:00,5.83,0,5.83,0
1/9/25 5:15,5.96,0,5.75,0
1/9/25 5:30,6.05,0,5.75,0
1/9/25 5:45,6.17,0,6,0
1/9/25 6:00,6.05,0,5.87,0
1/9/25 6:15,5.92,0,5.83,0
1/9/25 6:30,5.87,0,5.75,0
1/9/25 6:45,5.92,0,5.75,0
1/9/25 7:00,5.75,0,5.62,3.84
1/9/25 7:15,5.75,0.85,5.57,25.3
1/9/25 7:30,5.79,3.19,5.57,66.84
1/9/25 7:45,5.79,5.54,5.57,130.24
1/9/25 8:00,5.79,14.06,5.66,240.88
1/9/25 8:15,5.79,17.47,5.66,307.68
1/9/25 8:30,5.7,19.18,5.57,365.12
1/9/25 8:45,5.7,32.87,5.57,571.84
1/9/25 9:00,5.57,30.68,5.53,523.52
1/9/25 9:15,5.53,24.72,5.45,448.48
1/9/25 9:30,5.45,52.94,5.4,953.92
1/9/25 9:45,5.49,40.59,5.4,775.36
1/9/25 10:00,5.49,41.82,5.32,764.48
1/9/25 10:15,5.4,24.29,5.19,711.36
1/9/25 10:30,5.02,21.73,5.02,850.24
1/9/25 10:45,5.1,59.76,4.97,1191.68
1/9/25 11:00,5.87,46.14,5.19,910.4
1/9/25 11:15,5.7,71.34,5.23,1388.8
1/9/25 11:30,5.49,52.52,5.06,1041.28
1/9/25 11:45,5.45,70.42,5.1,1493.76
1/9/25 12:00,5.45,77.78,5.15,1678.08
