datetime,temp_deep,light_deep,temp_shallow,light_shallow
1/9/25 12:15,5.49,76.92,5.32,1641.6
1/9/25 12:30,5.23,79.48,5.19,1667.2
1/9/25 12:45,5.15,72.56,5.1,1528.96
1/9/25 13:00,5.45,49.54,5.06,1233.28
1/9/25 13:15,6.3,20.45,5.62,888.64
1/9/25 13:30,6,7.67,5.96,216.08
1/9/25 13:45,6.13,6.18,6,232.32
1/9/25 14:00,6.52,8.09,6.17,357.44
1/9/25 14:15,6.78,3.19,6.52,191.12
1/9/25 14:30,6.86,4.04,6.6,166.24
1/9/25 14:45,6.9,4.47,6.52,174
1/9/25 15:00,6.99,8.52,6.69,273.52
1/9/25 15:15,7.12,8.31,6.95,214.4
1/9/25 15:30,7.12,6.81,6.86,189.36
1/9/25 15:45,7.12,4.9,6.9,113.16
1/9/25 16:00,6.99,5.11,6.86,98.56
1/9/25 16:15,6.9,2.34,6.82,56.96
1/9/25 16:30,6.82,0.63,6.73,23.33
1/9/25 16:45,6.69,0,6.78,3.84
1/9/25 17:00,6.39,0,6.43,0
1/9/25 17:15,6.22,0,6.13,0
1/9/25 17:30,6.35,0,6.05,0
1/9/25 17:45,6.22,0,6.05,0
1/9/25 18:00,6.09,0,5.96,0
1/9/25 18:15,5.92,0,5.87,0
1/9/25 18:30,5.92,0,5.75,0
1/9/25 18:45,6.05,0,5.62,0
1/9/25 19:00,5.79,0,5.62,0
1/9/25 19:15,5.79,0,5.53,0
1/9/25 19:30,5.75,0,5.53,0
1/9/25 19:45,5.96,0,5.49,0
1/9/25 20:00,6,0,5.75,0
1/9/25 20:15,5.75,0,5.66,0
1/9/25 20:30,5.57,0,5.49,0
1/9/25 20:45,5.49,0,5.36,0
1/9/25 21:00,5.53,0,5.32,0
1/9/25 21:15,5.53,0,5.32,0
1/9/25 21:30,5.45,0,5.32,0
1/9/25 21:45,5.4,0,5.32,0
1/9/25 22:00,5.27,0,5.27,0
1/9/25 22:15,5.15,0,5.06,0
1/9/25 22:30,5.15,0,5.02,0
1/9/25 22:45,5.49,0,5.1,0
1/9/25 23:00,6.26,0,5.79,0
1/9/25 23:15,6.48,0,6.09,0
1/9/25 23:30,6.73,0,6.13,0
1/9/25 23:45,6.82,0,6.35,0
1/10/25 0:00,6.69,0,6.39,0
1/10/25 0:15,6.86,0,6.6,0
1/10/25 0:30,6.95,0,6.65,0
1/10/25 0:45,6.99,0,6.78,0
1/10/25 1:00,6.95,0,6.82,0
1/10/25 1:15,7.03,0,6.82,0
1/10/25 1:30,7.03,0,6.82,0
1/10/25 1:45,6.99,0,6.9,0
1/10/25 2:00,6.95,0,6.82,0
1/10/25 2:15,6.9,0,6.86,0
1/10/25 2:30,6.99,0,6.86,0
1/10/25 2:45,6.9,0,6.9,0
1/10/25 3:00,6.95,0,6.86,0
1/10/25 3:15,6.95,0,6.86,0
1/10/25 3:30,6.99,0,6.9,0
1/10/25 3:45,7.08,0,6.86,0
1/10/25 4:00,6.99,0,6.86,0
1/10/25 4:15,7.03,0,6.9,0
1/10/25 4:30,7.03,0,6.9,0
1/10/25 4:45,6.86,0,6.86,0
1/10/25 5:00,6.9,0,6.82,0
1/10/25 5:15,6.69,0,6.69,0
1/10/25 5:30,6.35,0,6.35,0
1/10/25 5:45,6.13,0,6.05,0
1/10/25 6:00,6.6,0,5.96,0
1/10/25 6:15,6.22,0,6.05,0
1/10/25 6:30,6.26,0,6,0
1/10/25 6:45,6.43,0,6.22,0
1/10/25 7:00,6.52,0,6.13,5.55
1/10/25 7:15,6.39,2.34,6.26,33.85
1/10/25 7:30,6.3,6.81,6.26,90.84
1/10/25 7:45,6.22,12.14,6.26,145.64
1/10/25 8:00,6.17,19.18,6.13,211.84
1/10/25 8:15,6,27.7,5.92,353.12
1/10/25 8:30,6.09,26.85,5.83,480
1/10/25 8:45,6.13,47.84,5.7,651.36
1/10/25 9:00,6,55.56,5.7,826.24
1/10/25 9:15,5.96,67.86,5.7,963.52
1/10/25 9:30,5.79,71.7,5.66,1059.2
1/10/25 9:45,5.62,76.92,5.45,1215.36
1/10/25 10:00,5.75,91.4,5.4,1354.24
1/10/25 10:15,5.66,102.48,5.4,1524.48
1/10/25 10:30,5.7,113.68,5.45,1701.12
1/10/25 10:45,5.7,123.04,5.49,1990.4
1/10/25 11:00,5.75,132.44,5.53,2116.48
1/10/25 11:15,5.66,137.64,5.57,2227.84
1/10/25 11:30,5.7,124.76,5.49,2200.32
1/10/25 11:45,5.7,123.04,5.36,2094.08
1/10/25 12:00,5.53,105.88,5.32,1708.16
1/10/25 12:15,5.49,85.44,5.15,1470.08
1/10/25 12:30,5.23,83.72,5.1,1624.32
1/10/25 12:45,5.19,81.18,5.06,1579.52
1/10/25 13:00,6.3,58.12,5.7,1468.16
1/10/25 13:15,6.52,61.96,6.17,1496.96
1/10/25 13:30,6.48,55.5,6.17,1237.76
1/10/25 13:45,6.43,48.2,6.26,1079.68
1/10/25 14:00,6.52,40.11,6.26,916.48
1/10/25 14:15,6.56,28.13,6.35,713.92
1/10/25 14:30,6.39,35.8,6.39,690.24
1/10/25 14:45,6.3,30.26,6.26,584.64
1/10/25 15:00,6.39,23.86,6.22,494.56
1/10/25 15:15,6.48,17.47,6.3,360
1/10/25 15:30,6.43,11.93,6.35,220.4
1/10/25 15:45,6.43,5.54,6.3,115.64
1/10/25 16:00,6.48,5.54,6.26,113.92
1/10/25 16:15,6.65,1.27,6.43,47.56
1/10/25 16:30,6.69,0.42,6.52,18.63
1/10/25 16:45,6.69,0,6.56,4.27
1/10/25 17:00,6.65,0,6.56,0
1/10/25 17:15,6.6,0,6.56,0
1/10/25 17:30,6.56,0,6.48,0
1/10/25 17:45,6.65,0,6.48,0
1/10/25 18:00,6.48,0,6.52,0
1/10/25 18:15,6.3,0,6.26,0
1/10/25 18:30,6.39,0,6.09,0
1/10/25 18:45,6.52,0,6.09,0
1/10/25 19:00,6.13,0,5.96,0
1/10/25 19:15,6.13,0,5.96,0
1/10/25 19:30,6.09,0,5.96,0
1/10/25 19:45,6.17,0,5.92,0
1/10/25 20:00,6.05,0,5.87,0
1/10/25 20:15,5.83,0,5.75,0
1/10/25 20:30,6,0,5.66,0
1/10/25 20:45,5.83,0,5.66,0
1/10/25 21:00,5.79,0,5.66,0
1/10/25 21:15,5.75,0,5.66,0
1/10/25 21:30,5.75,0,5.75,0
1/10/25 21:45,6.05,0,5.75,0
1/10/25 22:00,5.96,0,5.79,0
1/10/25 22:15,5.79,0,5.75,0
1/10/25 22:30,5.75,0,5.75,0
1/10/25 22:45,5.7,0,5.66,0
1/10/25 23:00,5.66,0,5.62,0
1/10/25 23:15,5.49,0,5.32,0
1/10/25 23:30,5.23,0,5.19,0
1/10/25 23:45,5.15,0,4.97,0
1/11/25 0:00,5.1,0,4.84,0
1/11/25 0:15,6.3,0,5.27,0
1/11/25 0:30,6.48,0,6.17,0
1/11/25 0:45,6.48,0,6.26,0
1/11/25 1:00,6.43,0,6.13,0
1/11/25 1:15,6.3,0,6,0
1/11/25 1:30,5.92,0,5.7,0
1/11/25 1:45,6.26,0,5.83,0
1/11/25 2:00,6.39,0,6.22,0
1/11/25 2:15,6.52,0,6.3,0
1/11/25 2:30,6.6,0,6.39,0
1/11/25 2:45,6.56,0,6.43,0
1/11/25 3:00,6.48,0,6.39,0
1/11/25 3:15,6.39,0,6.35,0
1/11/25 3:30,6.3,0,6.26,0
1/11/25 3:45,6.35,0,6.26,0
1/11/25 4:00,6.52,0,6.3,0
1/11/25 4:15,6.43,0,6.35,0
1/11/25 4:30,6.52,0,6.39,0
1/11/25 4:45,6.52,0,6.43,0
1/11/25 5:00,6.52,0,6.43,0
1/11/25 5:15,6.52,0,6.43,0
1/11/25 5:30,6.52,0,6.43,0
1/11/25 5:45,6.6,0,6.43,0
1/11/25 6:00,6.56,0,6.43,0
1/11/25 6:15,6.6,0,6.39,0
1/11/25 6:30,6.52,0,6.39,0
1/11/25 6:45,6.3,0,6.35,0
1/11/25 7:00,6.17,0,6.17,2.13
1/11/25 7:15,6.3,0.42,6.05,18.2
1/11/25 7:30,6.35,3.19,6.09,61.66
1/11/25 7:45,6.35,6.6,6.22,113.16
1/11/25 8:00,6.26,6.39,6.22,179.12
1/11/25 8:15,6,15.55,6,225.52
1/11/25 8:30,6.05,6.6,5.87,177.44
1/11/25 8:45,5.92,6.39,5.87,167.04
1/11/25 9:00,5.96,15.13,5.79,216.08
1/11/25 9:15,6.05,16.83,5.79,250.24
1/11/25 9:30,6,20.03,5.79,388.96
1/11/25 9:45,5.96,31.54,5.83,542.88
1/11/25 10:00,6,41.38,5.79,787.2
1/11/25 10:15,5.96,38.41,5.79,879.36
1/11/25 10:30,5.92,76.08,5.79,1269.44
1/11/25 10:45,5.92,81.18,5.79,1184
1/11/25 11:00,5.87,76.92,5.79,1129.28
1/11/25 11:15,5.83,48.26,5.75,925.12
1/11/25 11:30,5.83,78.64,5.7,1001.92
1/11/25 11:45,5.83,78.64,5.66,1030.08
1/11/25 12:00,5.87,84.6,5.75,1090.88
1/11/25 12:15,5.83,81.18,5.75,1149.76
1/11/25 12:30,5.79,60.24,5.75,916.48
1/11/25 12:45,5.75,74.26,5.62,1041.28
1/11/25 13:00,5.53,72.56,5.53,1001.92
1/11/25 13:15,5.45,80.34,5.36,1154.88
1/11/25 13:30,5.45,83.72,5.32,1211.2
1/11/25 13:45,5.49,67.02,5.32,922.56
1/11/25 14:00,5.57,25.14,5.36,678.08
1/11/25 14:15,6.3,37.13,6,532.96
1/11/25 14:30,6.39,16.41,6.13,302.56
1/11/25 14:45,6.26,21.31,6.05,294.08
1/11/25 15:00,6.35,10.86,6.17,191.92
1/11/25 15:15,6.35,9.16,6.13,167.92
1/11/25 15:30,6.26,5.75,6.22,115.72
1/11/25 15:45,6.3,4.9,6.26,95.96
1/11/25 16:00,6.39,1.49,6.22,33.85
1/11/25 16:15,6.39,0.63,6.26,14.76
1/11/25 16:30,6.43,0,6.22,5.33
1/11/25 16:45,6.39,0,6.22,1.49
1/11/25 17:00,6.43,0,6.26,0
1/11/25 17:15,6.43,0,6.26,0
1/11/25 17:30,6.48,0,6.3,0
1/11/25 17:45,6.43,0,6.3,0
1/11/25 18:00,6.48,0,6.39,0
1/11/25 18:15,6.43,0,6.3,0
1/11/25 18:30,6.39,0,6.35,0
1/11/25 18:45,6.48,0,6.35,0
1/11/25 19:00,6.48,0,6.3,0
1/11/25 19:15,6.35,0,6.26,0
1/11/25 19:30,6.17,0,6.17,0
1/11/25 19:45,6.17,0,6.05,0
1/11/25 20:00,6.39,0,6.13,0
1/11/25 20:15,6.3,0,6.13,0
1/11/25 20:30,6.09,0,6,0
1/11/25 20:45,6.13,0,6,0
1/11/25 21:00,5.96,0,5.96,0
1/11/25 21:15,5.87,0,5.79,0
1/11/25 21:30,6.05,0,5.87,0
1/11/25 21:45,5.96,0,5.83,0
1/11/25 22:00,5.79,0,5.66,0
1/11/25 22:15,5.87,0,5.57,0
1/11/25 22:30,5.87,0,5.53,0
1/11/25 22:45,5.66,0,5.53,0
1/11/25 23:00,5.7,0,5.53,0
1/11/25 23:15,5.7,0,5.45,0
1/11/25 23:30,5.62,0,5.4,0
1/11/25 23:45,5.57,0,5.49,0
1/12/25 0:00,5.62,0,5.53,0
1/12/25 0:15,5.66,0,5.57,0
1/12/25 0:30,5.4,0,4.93,0
1/12/25 0:45,5.27,0,4.84,0
1/12/25 1:00,5.06,0,4.89,0
1/12/25 1:15,5.19,0,5.02,0
1/12/25 1:30,6.3,0,5.75,0
1/12/25 1:45,6.26,0,6,0
1/12/25 2:00,6.13,0,5.87,0
1/12/25 2:15,6.17,0,5.75,0
1/12/25 2:30,6.05,0,5.83,0
1/12/25 2:45,6.22,0,5.79,0
1/12/25 3:00,6.39,0,6.13,0
1/12/25 3:15,6.52,0,6.26,0
1/12/25 3:30,6.48,0,6.35,0
1/12/25 3:45,6.43,0,6.35,0
1/12/25 4:00,6.39,0,6.3,0
1/12/25 4:15,6.35,0,6.26,0
1/12/25 4:30,6.35,0,6.26,0
1/12/25 4:45,6.48,0,6.3,0
1/12/25 5:00,6.35,0,6.22,0
1/12/25 5:15,6.35,0,6.3,0
1/12/25 5:30,6.35,0,6.09,0
1/12/25 5:45,6.48,0,6.13,0
1/12/25 6:00,6.56,0,6.26,0
1/12/25 6:15,6.52,0,6.35,0
1/12/25 6:30,6.52,0,6.39,0
1/12/25 6:45,6.52,0,6.43,0
1/12/25 7:00,6.56,0,6.39,3.2
1/12/25 7:15,6.6,0.85,6.35,21.62
1/12/25 7:30,6.56,2.98,6.35,55.26
1/12/25 7:45,6.39,6.6,6.35,93.4
1/12/25 8:00,6.22,8.52,6.22,143.08
1/12/25 8:15,6.22,8.95,6.05,247.68
1/12/25 8:30,6.43,19.18,6.35,356.64
1/12/25 8:45,6.3,32.82,6.17,476.64
1/12/25 9:00,6.13,41.82,6.09,607.68
1/12/25 9:15,6.09,50.82,6,794.24
1/12/25 9:30,6,60.62,5.96,949.76
1/12/25 9:45,5.87,68.72,5.96,1087.36
1/12/25 10:00,5.79,80.34,5.75,1282.24
1/12/25 10:15,5.79,88.84,5.75,1463.04
1/12/25 10:30,5.79,100.8,5.75,1523.84
1/12/25 10:45,5.79,108.56,5.7,1788.8
1/12/25 11:00,5.83,116.24,5.75,1925.12
1/12/25 11:15,5.83,118.8,5.7,2036.48
1/12/25 11:30,5.83,124.76,5.75,2104.32
1/12/25 11:45,5.79,126.48,5.79,2244.48
1/12/25 12:00,5.83,133.28,5.75,2243.2
1/12/25 12:15,5.79,135,5.7,2427.52
1/12/25 12:30,5.62,128.16,5.66,2128.64
1/12/25 12:45,5.66,126.48,5.62,2072.32
1/12/25 13:00,5.75,96.52,5.66,1975.04
1/12/25 13:15,5.66,98.24,5.7,2101.12
1/12/25 13:30,5.66,92.28,5.75,1628.8
1/12/25 13:45,5.7,70,5.45,1361.28
1/12/25 14:00,5.57,70.42,5.27,1262.4
1/12/25 14:15,5.27,60.62,5.27,1099.2
1/12/25 14:30,5.32,52.1,5.23,959.04
1/12/25 14:45,6.05,47.36,5.45,842.56
1/12/25 15:00,5.96,40.96,5.53,704.64
1/12/25 15:15,5.57,31.96,5.45,517.6
1/12/25 15:30,5.4,21.73,5.19,351.52
1/12/25 15:45,5.1,15.55,5.06,258.8
1/12/25 16:00,6.26,5.11,5.75,120.84
1/12/25 16:15,6.17,2.77,5.96,76.24
1/12/25 16:30,6.26,0,6.09,25.06
1/12/25 16:45,6.26,0,6.09,5.55
1/12/25 17:00,6.17,0,6,0
1/12/25 17:15,6.17,0,5.96,0
1/12/25 17:30,6.35,0,6.09,0
1/12/25 17:45,6.35,0,6.13,0
1/12/25 18:00,6.39,0,6.17,0
1/12/25 18:15,6.43,0,6.26,0
1/12/25 18:30,6.43,0,6.3,0
1/12/25 18:45,6.43,0,6.3,0
1/12/25 19:00,6.52,0,6.35,0
1/12/25 19:15,6.39,0,6.39,0
1/12/25 19:30,6.43,0,6.35,0
1/12/25 19:45,6.48,0,6.3,0
1/12/25 20:00,6.35,0,6.3,0
1/12/25 20:15,6.22,0,6.13,0
1/12/25 20:30,6.17,0,6,0
1/12/25 20:45,6.09,0,6,0
1/12/25 21:00,5.96,0,5.79,0
1/12/25 21:15,6.05,0,5.66,0
1/12/25 21:30,6,0,5.7,0
1/12/25 21:45,6,0,5.75,0
1/12/25 22:00,6,0,5.7,0
1/12/25 22:15,5.92,0,5.66,0
1/12/25 22:30,5.87,0,5.66,0
1/12/25 22:45,5.66,0,5.62,0
1/12/25 23:00,5.57,0,5.57,0
1/12/25 23:15,5.57,0,5.49,0
1/12/25 23:30,5.75,0,5.45,0
1/12/25 23:45,5.75,0,5.57,0
1/13/25 0:00,5.7,0,5.36,0
1/13/25 0:15,5.79,0,5.57,0
1/13/25 0:30,5.83,0,5.7,0
1/13/25 0:45,5.83,0,5.7,0
1/13/25 1:00,5.83,0,5.75,0
1/13/25 1:15,5.62,0,5.53,0
1/13/25 1:30,5.66,0,5.57,0
1/13/25 1:45,5.45,0,5.27,0
1/13/25 2:00,5.36,0,5.19,0
1/13/25 2:15,5.32,0,5.23,0
1/13/25 2:30,5.96,0,5.36,0
1/13/25 2:45,6.05,0,5.83,0
1/13/25 3:00,6.05,0,5.92,0
1/13/25 3:15,6.13,0,5.92,0
1/13/25 3:30,6.22,0,6.05,0
1/13/25 3:45,6.22,0,6.05,0
1/13/25 4:00,6.09,0,6.05,0
1/13/25 4:15,5.92,0,5.92,0
1/13/25 4:30,5.83,0,5.75,0
1/13/25 4:45,6.3,0,6.05,0
1/13/25 5:00,6.3,0,6.13,0
1/13/25 5:15,6.3,0,6.17,0
1/13/25 5:30,6.17,0,6.13,0
1/13/25 5:45,6.26,0,6.13,0
1/13/25 6:00,6.35,0,6.22,0
1/13/25 6:15,6.39,0,6.26,0
1/13/25 6:30,6.35,0,6.22,0
1/13/25 6:45,6.43,0,6.26,0
1/13/25 7:00,6.43,0,6.22,1.28
1/13/25 7:15,6.43,0,6.35,11.13
1/13/25 7:30,6.48,0.85,6.39,29.15
1/13/25 7:45,6.39,1.7,6.35,52.26
1/13/25 8:00,6.39,3.4,6.3,84.88
1/13/25 8:15,6.43,5.32,6.3,147.36
1/13/25 8:30,6.52,7.88,6.22,237.44
1/13/25 8:45,6.35,14.91,6.17,354.88
1/13/25 9:00,6.09,13,6,373.6
1/13/25 9:15,6.17,14.49,6,450.08
1/13/25 9:30,6.22,28.13,6.05,565.92
1/13/25 9:45,6.17,35.43,6.05,767.68
1/13/25 10:00,6.05,47.36,6,978.88
1/13/25 10:15,6,50.4,5.87,1104.32
1/13/25 10:30,6,56.84,5.79,1217.92
1/13/25 10:45,6.05,58.92,5.75,1351.68
1/13/25 11:00,5.96,137.56,5.75,2478.72
1/13/25 11:15,5.87,65.74,5.79,786.56
1/13/25 11:30,5.79,48.26,5.7,763.52
1/13/25 11:45,5.66,55.56,5.57,792.32
1/13/25 12:00,5.66,52.94,5.49,722.56
1/13/25 12:15,5.62,42.66,5.4,756.8
1/13/25 12:30,5.66,49.12,5.4,824.64
1/13/25 12:45,5.66,58.12,5.49,892.48
1/13/25 13:00,5.75,45.22,5.49,994.24
1/13/25 13:15,5.75,62.32,5.62,1022.4
1/13/25 13:30,5.57,61.48,5.45,952.32
1/13/25 13:45,5.75,51.24,5.53,901.12
1/13/25 14:00,5.66,61.9,5.62,1072.96
1/13/25 14:15,5.53,46.98,5.49,894.4
1/13/25 14:30,5.53,54.7,5.45,1096.64
1/13/25 14:45,5.49,46.98,5.4,784
1/13/25 15:00,5.49,41.82,5.4,727.68
1/13/25 15:15,5.4,29.41,5.32,513.28
1/13/25 15:30,5.27,12.78,5.23,229.76
1/13/25 15:45,5.36,5.75,5.19,147.44
1/13/25 16:00,5.7,2.34,5.23,73.68
1/13/25 16:15,5.87,0.63,5.49,30.43
1/13/25 16:30,5.87,0,5.7,8.78
1/13/25 16:45,5.79,0,5.7,1.28
1/13/25 17:00,5.87,0,5.79,0
1/13/25 17:15,6.05,0,5.83,0
1/13/25 17:30,6.22,0,6,0
1/13/25 17:45,6.26,0,6.09,0
1/13/25 18:00,6.17,0,6.05,0
1/13/25 18:15,5.96,0,5.96,0
1/13/25 18:30,5.83,0,5.75,0
1/13/25 18:45,6.13,0,5.83,0
1/13/25 19:00,6.35,0,6,0
1/13/25 19:15,6.43,0,6.17,0
1/13/25 19:30,6.43,0,6.17,0
1/13/25 19:45,6.39,0,6.22,0
1/13/25 20:00,6.39,0,6.17,0
1/13/25 20:15,6.43,0,6.17,0
1/13/25 20:30,6.48,0,6.17,0
1/13/25 20:45,6.39,0,6.09,0
1/13/25 21:00,6.3,0,5.96,0
1/13/25 21:15,6,0,5.92,0
1/13/25 21:30,6.05,0,5.92,0
1/13/25 21:45,6.05,0,5.92,0
1/13/25 22:00,6,0,5.87,0
1/13/25 22:15,6,0,5.92,0
1/13/25 22:30,6,0,5.83,0
1/13/25 22:45,5.96,0,5.87,0
1/13/25 23:00,5.92,0,5.83,0
1/13/25 23:15,5.87,0,5.79,0
1/13/25 23:30,5.75,0,5.7,0
1/13/25 23:45,5.66,0,5.57,0
1/14/25 0:00,5.57,0,5.4,0
1/14/25 0:15,5.62,0,5.4,0
1/14/25 0:30,5.66,0,5.45,0
1/14/25 0:45,5.53,0,5.4,0
1/14/25 1:00,5.62,0,5.45,0
1/14/25 1:15,5.57,0,5.49,0
1/14/25 1:30,5.79,0,5.57,0
1/14/25 1:45,5.79,0,5.66,0
1/14/25 2:00,5.66,0,5.66,0
1/14/25 2:15,5.7,0,5.62,0
1/14/25 2:30,5.53,0,5.36,0
1/14/25 2:45,5.32,0,5.23,0
1/14/25 3:00,5.27,0,5.15,0
1/14/25 3:15,5.32,0,5.19,0
1/14/25 3:30,5.75,0,5.49,0
1/14/25 3:45,5.83,0,5.66,0
1/14/25 4:00,5.83,0,5.66,0
1/14/25 4:15,5.87,0,5.75,0
1/14/25 4:30,6.05,0,5.83,0
1/14/25 4:45,6,0,5.79,0
1/14/25 5:00,6.05,0,5.87,0
1/14/25 5:15,5.92,0,5.87,0
1/14/25 5:30,6.43,0,6.13,0
1/14/25 5:45,6.3,0,6.17,0
1/14/25 6:00,6.26,0,6.17,0
1/14/25 6:15,6.22,0,6.17,0
1/14/25 6:30,6.13,0,6.13,0
1/14/25 6:45,6.35,0,6.22,0
1/14/25 7:00,6.39,0,6.22,0.64
1/14/25 7:15,6.52,0,6.26,7.9
1/14/25 7:30,6.56,0.42,6.26,21.83
1/14/25 7:45,6.6,1.06,6.39,44.52
1/14/25 8:00,6.65,2.13,6.43,63.8
1/14/25 8:15,6.6,2.13,6.39,91.72
1/14/25 8:30,6.52,3.83,6.43,146.48
1/14/25 8:45,6.65,5.11,6.39,203.92
1/14/25 9:00,6.69,7.24,6.48,212.64
1/14/25 9:15,6.65,9.59,6.52,223.76
1/14/25 9:30,6.56,9.16,6.39,388.16
1/14/25 9:45,6.17,11.29,6.22,360
1/14/25 10:00,6.69,15.13,6.13,527.84
1/14/25 10:15,6.65,25.57,6.13,687.68
1/14/25 10:30,6.26,33.29,6.09,795.2
1/14/25 10:45,6.17,34.52,6.09,952.32
1/14/25 11:00,6.26,37.98,6.13,1000.96
1/14/25 11:15,6.17,48.2,6.09,1173.76
1/14/25 11:30,6.17,55.56,6.17,1330.56
1/14/25 11:45,6.17,62.32,6.09,1437.44
1/14/25 12:00,6.09,69.14,6.05,1611.52
1/14/25 12:15,6,69.58,5.96,1595.52
1/14/25 12:30,6.13,71.7,5.83,1590.4
1/14/25 12:45,6.05,72.14,5.79,1655.04
1/14/25 13:00,6,71.7,5.75,1620.48
1/14/25 13:15,5.92,71.7,5.79,1651.84
1/14/25 13:30,5.87,61.1,5.87,1459.84
1/14/25 13:45,5.92,54.22,5.83,1336.32
1/14/25 14:00,5.96,26,5.87,1005.44
1/14/25 14:15,5.96,30.68,5.92,966.72
1/14/25 14:30,5.96,27.27,5.92,977.92
1/14/25 14:45,5.96,26.42,5.87,693.44
1/14/25 15:00,5.92,30.26,5.83,664
1/14/25 15:15,5.96,26.42,5.57,509.92
1/14/25 15:30,5.36,23.86,5.4,449.28
1/14/25 15:45,5.19,16.62,5.15,312
1/14/25 16:00,5.4,9.8,5.02,180
1/14/25 16:15,5.23,5.11,4.93,105.36
1/14/25 16:30,5.27,1.7,4.93,47.14
1/14/25 16:45,5.7,0,5.1,10.27
1/14/25 17:00,6,0,5.57,0.21
