YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 11 04 04  19  6.0  8.7 99.00 99.00 99.00 999 1022.4   6.5  12.7 999.0 99.0 99.00
2004 11 04 05  24  6.0 10.3 99.00 99.00 99.00 999 1022.3   5.5  12.4 999.0 99.0 99.00
2004 11 04 06  25  4.7  9.0 99.00 99.00 99.00 999 1022.4   4.9  12.3 999.0 99.0 99.00
2004 11 04 07  22  4.6  7.6 99.00 99.00 99.00 999 1022.7   4.5  12.2 999.0 99.0 99.00
2004 11 04 08  29  5.6  9.1 99.00 99.00 99.00 999 1022.5   4.0  12.2 999.0 99.0 99.00
2004 11 04 09  49  5.2  7.1 99.00 99.00 99.00 999 1022.1   3.9  11.9 999.0 99.0 99.00
2004 11 04 10  55  5.6  7.7 99.00 99.00 99.00 999 1022.1   3.4  11.9 999.0 99.0 99.00
2004 11 04 11  62  2.8  3.7 99.00 99.00 99.00 999 1022.2   2.9  11.9 999.0 99.0 99.00
2004 11 04 12  62  3.3  4.7 99.00 99.00 99.00 999 1021.7   3.3  11.9 999.0 99.0 99.00
2004 11 04 13  50  2.9  4.3 99.00 99.00 99.00 999 1021.5   4.1  11.8 999.0 99.0 99.00
2004 11 04 14  42  1.2  2.6 99.00 99.00 99.00 999 1020.8   4.5  11.9 999.0 99.0 99.00
2004 11 04 16 218  0.6  3.1 99.00 99.00 99.00 999 1019.5   6.4  11.9 999.0 99.0 99.00
2004 11 04 17 197  0.2  2.7 99.00 99.00 99.00 999 1018.0   7.1  12.1 999.0 99.0 99.00
2004 11 04 18 195  3.6  4.7 99.00 99.00 99.00 999 1016.7   8.1  11.7 999.0 99.0 99.00
2004 11 04 19 205  5.8  8.0 99.00 99.00 99.00 999 1015.5   9.1  11.6 999.0 99.0 99.00
2004 11 04 20 203  7.0  7.9 99.00 99.00 99.00 999 1014.4   9.7  11.8 999.0 99.0 99.00
2004 11 04 21 192  5.1  6.9 99.00 99.00 99.00 999 1012.9  10.2  12.2 999.0 99.0 99.00
2004 11 04 22 183  6.2  7.9 99.00 99.00 99.00 999 1011.1  10.7  12.0 999.0 99.0 99.00
2004 11 04 23 180  5.9  8.6 99.00 99.00 99.00 999 1009.7  10.7  12.0 999.0 99.0 99.00
2004 11 05 00 174  5.7 10.0 99.00 99.00 99.00 999 1007.1  10.7  12.0 999.0 99.0 99.00
2004 11 05 01 159  9.2 12.3 99.00 99.00 99.00 999 1004.7  10.9  12.2 999.0 99.0 99.00
2004 11 05 02 159  6.9 12.0 99.00 99.00 99.00 999 1001.9  11.3  12.3 999.0 99.0 99.00
2004 11 05 03 153  5.9  9.2 99.00 99.00 99.00 999  997.4  12.2  12.1 999.0 99.0 99.00
2004 11 05 04 177  8.5 16.0 99.00 99.00 99.00 999  993.3  13.6  12.5 999.0 99.0 99.00
2004 11 05 05  24  1.3  4.1 99.00 99.00 99.00 999  993.1  11.6  12.3 999.0 99.0 99.00
2004 11 05 06 322  3.9  7.5 99.00 99.00 99.00 999  992.5  11.1  12.4 999.0 99.0 99.00
2004 11 05 07 311  6.4  8.1 99.00 99.00 99.00 999  993.1  11.0  12.7 999.0 99.0 99.00
2004 11 05 08 284  4.6  8.6 99.00 99.00 99.00 999  993.4   9.9  12.8 999.0 99.0 99.00
2004 11 05 09 277  6.6  8.7 99.00 99.00 99.00 999  993.3   9.7  12.9 999.0 99.0 99.00
2004 11 05 10 280  6.3  8.0 99.00 99.00 99.00 999  993.9   9.6  12.9 999.0 99.0 99.00
2004 11 05 11 289  5.9 10.6 99.00 99.00 99.00 999  995.3   9.6  12.9 999.0 99.0 99.00
2004 11 05 12 275  7.0 10.3 99.00 99.00 99.00 999  996.4   9.8  12.9 999.0 99.0 99.00
2004 11 05 13 293  7.4 11.4 99.00 99.00 99.00 999  997.7  10.4  12.9 999.0 99.0 99.00
2004 11 05 14 275  9.0 13.4 99.00 99.00 99.00 999  998.0  10.4  12.7 999.0 99.0 99.00
2004 11 05 15 276  9.8 14.0 99.00 99.00 99.00 999  998.4  10.7  12.8 999.0 99.0 99.00
2004 11 05 16 302 12.1 17.5 99.00 99.00 99.00 999  998.7  11.4  12.7 999.0 99.0 99.00
2004 11 05 17 282 10.2 14.1 99.00 99.00 99.00 999  998.4  12.1  12.7 999.0 99.0 99.00
2004 11 05 19 307 10.2 19.9 99.00 99.00 99.00 999 1000.1  11.3  12.6 999.0 99.0 99.00
2004 11 05 20 314  7.8 13.2 99.00 99.00 99.00 999 1000.5  11.6  12.6 999.0 99.0 99.00
2004 11 05 21 314  7.9 16.0 99.00 99.00 99.00 999 1001.7  11.4  12.6 999.0 99.0 99.00
2004 11 05 22 317 11.1 15.3 99.00 99.00 99.00 999 1003.2   9.9  12.6 999.0 99.0 99.00
2004 11 05 23 299 10.6 15.9 99.00 99.00 99.00 999 1004.5   9.5  12.4 999.0 99.0 99.00
2004 11 06 00 296  9.2 14.9 99.00 99.00 99.00 999 1005.5   8.7  12.2 999.0 99.0 99.00
2004 11 06 01 297  3.2 15.3 99.00 99.00 99.00 999 1006.6   8.3  12.2 999.0 99.0 99.00
2004 11 06 02 299  7.9 10.2 99.00 99.00 99.00 999 1007.3   8.2  12.1 999.0 99.0 99.00
2004 11 06 03 286  4.7  7.6 99.00 99.00 99.00 999 1007.8   7.9  12.0 999.0 99.0 99.00
2004 11 06 04 265  6.3  8.8 99.00 99.00 99.00 999 1008.2   8.0  11.9 999.0 99.0 99.00
2004 11 06 05 281  6.0  9.5 99.00 99.00 99.00 999 1008.6   8.1  11.8 999.0 99.0 99.00
2004 11 06 06 269  6.7  8.9 99.00 99.00 99.00 999 1009.1   7.6  11.8 999.0 99.0 99.00
2004 11 06 07 267  8.0 12.7 99.00 99.00 99.00 999 1009.8   7.7  10.9 999.0 99.0 99.00
2004 11 06 08 266  7.5 10.9 99.00 99.00 99.00 999 1009.8   7.7  10.6 999.0 99.0 99.00
2004 11 06 09 267  6.1  8.2 99.00 99.00 99.00 999 1010.2   7.7  10.6 999.0 99.0 99.00
2004 11 06 10 265  5.5  7.5 99.00 99.00 99.00 999 1010.1   7.7  10.6 999.0 99.0 99.00
2004 11 06 11 263  6.3  9.2 99.00 99.00 99.00 999 1010.1   7.9  10.5 999.0 99.0 99.00
2004 11 06 12 266  6.3 11.3 99.00 99.00 99.00 999 1010.1   8.4  10.6 999.0 99.0 99.00
2004 11 06 13 264  5.9  9.1 99.00 99.00 99.00 999 1010.2   8.7  10.6 999.0 99.0 99.00
2004 11 06 14 277  6.2  8.4 99.00 99.00 99.00 999 1010.0   9.4  10.6 999.0 99.0 99.00
2004 11 06 15 269  5.8  7.5 99.00 99.00 99.00 999 1009.2  10.6  10.6 999.0 99.0 99.00
2004 11 06 16 249  8.7 12.4 99.00 99.00 99.00 999 1007.9  10.9  10.7 999.0 99.0 99.00
2004 11 06 17 251 10.8 14.3 99.00 99.00 99.00 999 1007.1  11.7  10.8 999.0 99.0 99.00
2004 11 06 18 250  9.2 12.6 99.00 99.00 99.00 999 1006.5  12.5  10.9 999.0 99.0 99.00
2004 11 07 07 259  4.1  6.3 99.00 99.00 99.00 999 1010.5  11.7  10.9 999.0 99.0 99.00
2004 11 07 10 239  1.6  3.1 99.00 99.00 99.00 999 1011.3  10.4  10.4 999.0 99.0 99.00
2004 11 08 00 237  6.4  9.4 99.00 99.00 99.00 999 1008.1  13.6  12.2 999.0 99.0 99.00
2004 11 08 04 254  7.6 10.8 99.00 99.00 99.00 999 1006.8  14.1  12.2 999.0 99.0 99.00
2004 11 08 05 249  6.3 10.0 99.00 99.00 99.00 999 1006.0  14.0  12.2 999.0 99.0 99.00
2004 11 08 09 346  6.1 12.2 99.00 99.00 99.00 999 1008.4  11.8  12.4 999.0 99.0 99.00
2004 11 08 15 345  5.4 11.5 99.00 99.00 99.00 999 1017.0   7.2  11.8 999.0 99.0 99.00
2004 11 08 17   1  2.9  8.0 99.00 99.00 99.00 999 1017.1   9.5  12.0 999.0 99.0 99.00
2004 11 08 18 334  4.3  9.0 99.00 99.00 99.00 999 1017.4   9.7  12.0 999.0 99.0 99.00
2004 11 08 19 312  6.3  7.8 99.00 99.00 99.00 999 1017.5  10.1  12.0 999.0 99.0 99.00
2004 11 08 20 317  5.8  7.4 99.00 99.00 99.00 999 1018.1  10.5  12.0 999.0 99.0 99.00
